disclosure_id,section,category,topic,disclosure_ko
s2-g1,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,목적,"기후 관련 위험 및 기회를 감독할 책임이 있는 의사결정기구(들) 또는 개인(들)을 식별하고, 다음의 정보를 공시해야 합니다."
s2-g2,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,"기후 관련 위험 및 기회에 대한 책임이 해당 의사결정기구(들) 또는 개인(들)에게 적용되는 기업의 위임사항(terms of reference), 의무사항 (mandates), 역할기술서(role description) 및 기타 관련 정책에 어떻게 반영되는지"
s2-g3,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회에 대응하기 위해 고안된 전략을 감독할 수 있는 적절한 기술과 역량을 갖추었는지 또는 개발할 것인지를 어떻게 판단하는지
s2-g4,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회에 대해 어떻게 통지받는지와 얼마나 자주 통지받는지
s2-g5,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,"의사결정기구(들) 또는 개인(들)이 기업의 전략, 주요 거래에 대한 의사결정, 위험관리 프로세스 및 관련 정책을 감독할 때 기후 관련 위험 및 기회를 어떻게 고려하는지(의사결정기구(들) 또는 개인(들)이 그러한 위험 및 기회 간의 상충을 고려했는지 여부 포함)"
s2-g6,지배구조,기후 관련 위험과 기회에 대한 이사회의 감독 사항,기후 관련 위험과 기회에 대한 이사회의 감독 사항,의사결정기구(들) 또는 개인(들)이 기후 관련 위험 및 기회와 관련된 목표의 설정을 어떻게 감독하는지와 그러한 목표를 향한 진척도를 어떻게 모니터링하는지(관련 성과지표가 보상정책에 포함되는지 여부와 어떻게 포함되는지를 포함
s2-g7,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,목적,"기후 관련 위험 및 기회를 모니터링, 관리 및 감독하는 데 있어서 경영진의 역할을 설명하고, 다음 정보를 공시해야 합니다."
s2-g8,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,기후 관련 위험과 기회에 대한 경영진의 역할,경영진의 역할이 특정 경영진 수준의 직책 또는 위원회에 위임되는지 여부와 그러한 직책 또는 위원회가 어떻게 감독되는지
s2-g9,지배구조,기후 관련 위험과 기회에 대한 경영진의 역할,기후 관련 위험과 기회에 대한 경영진의 역할,"경영진이 기후 관련 위험 및 기회의 감독을 지원하기 위해 통제 및 절차를 사용하는지 여부와 만약 그렇다면, 이러한 통제 및 절차가 다른 내부 기능과 어떻게 통합되는지"
s2-s1,전략,위험 및 기회,목적,기업은 일반목적재무보고서의 이용자가 기업 전망에 영향을 미칠 것으로 합리적으로 예상할 수 있는 기후 관련 위험 및 기회를 이해할 수 있도록하는 정보를 공시한다. 구체적으로 기업은 다음을 수행한다.
s2-s2,전략,위험 및 기회,위험 및 기회,기업 전망에 영향을 미칠 것으로 합리적으로 예상할 수 있는 기후 관련 위험 및 기회를 기술한다.
s2-s3,전략,위험 및 기회,위험 및 기회,"기업이 '단기', '중기' 및 '장기'를 어떻게 정의하고, 이러한 정의가 기업이 전략적 의사결정을 위해 사용하는 계획기간과 어떻게 연계되는지 설명한다."
s2-s4,전략,사업모형과 가치사슬,목적,기업은 일반목적재무보고서의 이용자가 기후 관련 위험 및 기회가 사업모형 및 가치사슬에 미치는 현재 및 예상 영향을 이해할 수 있도록 정보를 공시한다. 구체적으로 기업은 다음을 공시한다.
s2-s5,전략,사업모형과 가치사슬,사업모형과 가치사슬,기후 관련 위험 및 기회가 기업의 사업 모델 및 가치사슬에 미치는 현재 및 예상 영향에 대한 기술
s2-s6,전략,사업모형과 가치사슬,사업모형과 가치사슬,"기업의 사업 모델 및 가치사슬에서 기후 관련 위험 및 기회가 집중되어 있는 부분(예: 지리적 영역, 시설 및 자산의 유형)에 대한 기술"
s2-s7,전략,전략 및 의사결정,목적,기업은 일반목적재무보고서의 이용자가 기후 관련 위험 및 기회가 전략과 의사결정에 미치는 영향을 이해할 수 있도록 하는 정보를 공시한다. 구체적으로 기업은 다음을 공시한다.
s2-s8,전략,전략 및 의사결정,전략 및 의사결정,"기후 관련 위험 및 기회를 다루기 위한 기업의 현재 및 예상되는 사업 모델의 변화(예: 탄소집약적, 에너지집약적, 또는 수자원집약적인 사업장의 관리 계획 혹은 해체, 수요 또는 공급망의 변화에서 유발되는 자원배분, 자본적 지출 또는 연구개발에 대한 추가적인 지출을 통한 사업 개발에서 발생하는 자원배분, 인수 및 매각)"
s2-s9,전략,전략 및 의사결정,전략 및 의사결정,"현재 및 예상되는 직접적인 완화 및 적응 노력(예: 생산 공정이나 설비의 변경, 시설 재배치, 인력 조정 및 제품 사양 변경)"
s2-s10,전략,전략 및 의사결정,전략 및 의사결정,현재 및 예상되는 간접적인 완화 및 적응 노력(예: 고객 및 공급망과의 협력)
s2-s11,전략,전략 및 의사결정,전략 및 의사결정,온실가스 배출량 목표를 포함하여 기후 관련 전환 계획을 어떻게 설정하고 있는지
s2-s12,전략,전략 및 의사결정,전략 및 의사결정,기후 관련 전환 계획을 개발하는 데 사용된 주요 가정 및 의존 요소에 대한 정보
s2-s13,전략,전략 및 의사결정,전략 및 의사결정,기후 관련 전환 계획 및 목표 달성을 위한 구체적인 감축 수단 및 이행 계획에 대한 정보
s2-s14,전략,전략 및 의사결정,전략 및 의사결정,"기업이 자본을 어떻게 조달하고, 활용할 계획인지에 대한 정보"
s2-s15,전략,기후회복력,목적,"기업은 일반목적재무보고서의 이용자가 기업이 식별한 기후 관련 위험 및 기회를 고려하여 기후 관련 변화, 전개 및 불확실성에 대한 기업 전략 및 사업 모델의 회복력을 이해할 수 있게 하는 정보를 공시한다. 기업은 자신의 상황에 상응하는 방식으로 기후 회복력 평가를 위해 기후 관련 시나리오 분석을 사용한다. 구체적으로 기업은 다음을 공시한다."
s2-s16,전략,기후회복력,기후회복력,분석에 사용한 기후 관련 시나리오 및 그러한 시나리오의 원천
s2-s17,전략,기후회복력,기후회복력,기후 관련 시나리오 분석 절차 및 분석에 활용된 주요 가정과 핵심 변수에 대한 설명
s2-s18,전략,기후회복력,기후회복력,기후 관련 전환 위험 또는 물리적 위험에 대한 시나리오 분석 결과(분석에 사용한 기간 범위와 운영 범위를 포함하여)
s2-s19,전략,기후회복력,기후회복력,"기후 관련 위험 및 기회를 관리하기 위한 기업의 전략에 있어서 단기, 중기 및 장기에 걸쳐 기업의 재무성과 및 현금흐름이 어떻게 변화할 것으로 예상하는지"
s2-s20,전략,기후회복력,기후회복력,"기후 관련 위험 및 기회를 관리하기 위한 기업의 투자 및 처분 계획, 역량이 어떠한지. 여기에는 계약상 약정되지 않은 계획을 포함합니다."
s2-s21,전략,기후회복력,기후회복력,기업이 선택한 기후 관련 시나리오를 바탕으로 분석을 진행할 때 고려한 불확실성의 영역
s2-r1,위험관리,기후 관련 위험 식별 및 평가 프로세스,목적,"위험관리에 대한 기후 관련 재무공시의 목적은 일반목적재무보고서의 이용자가 기후 관련 위험 및 기회를 식별, 평가, 우선순위 설정 및 모니터링하는 기업의 프로세스를 이해할 수 있도록 하는 것이며, 여기에는 그러한 프로세스가 기업의 전반적
인 위험관리 프로세스상에 어떻게 통합되고 작용하는지를 포함한다. 이러한 목적을 달성하기 위하여 기업은 다음을 공시한다."
s2-r2,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,기업이 사용하는 투입변수 및 매개변수(예: 프로세스에서 다뤄지는 데이터 원천 및 사업장 범위에 대한 정보)
s2-r3,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,기업이 기후 관련 위험 식별에 정보를 제공하기 위해 기후 관련 시나리오 분석을 사용하는지 여부와 어떻게 사용하는지
s2-r4,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,"기업이 그러한 위험의 성격, 발생가능성 및 영향의 크기를 어떻게 평가하는지(예: 질적 요인, 양적 임계치 또는 그 밖의 요건의 고려 여부)"
s2-r5,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,기업이 다른 유형의 위험과 비교하여 기후 관련 위험을 우선시하는지 여부 및 어떻게 우선시하는지
s2-r6,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,기업이 기후 관련 위험 및 기회를 지속적으로 모니터링하기 위해 사용하는 프로세스
s2-r7,위험관리,기후 관련 위험 식별 및 평가 프로세스,기후 관련 위험 식별 및 평가 프로세스,기업이 사용하는 프로세스가 과거 보고기간과 비교하여 변경되었는지 여부와 어떻게 변경되었는지
s2-m1,지표 및 목표,지표 및 목표,목적,지표 및 목표에 대한 기후 관련 재무공시의 목적은 일반목적재무보고서의 이용자가 기후 관련 위험 및 기회와 관련된 기업의 성과를 이해할 수 있도록 하는 것이다. 여기에는 기업이 설정한 기후관련 목표 및 법률이나 규정에 따라 충족해야 하는 목표에 대한 진척도를 포함한다. 이러한 목적을 달성하기 위해 기업은 다음 사항을 공시한다.
s2-m2,지표 및 목표,기후 관련 지표,온실가스,온실가스 총 배출량
s2-m3,지표 및 목표,기후 관련 지표,온실가스,온실가스 배출량 산정 지침
s2-m4,지표 및 목표,기후 관련 지표,온실가스,온실가스 배출량 산정에 포함된 온실가스 종류
s2-m5,지표 및 목표,기후 관련 지표,온실가스,"온실가스 배출량 측정을 위해 적용한 접근법, 투입변수, 가정"
s2-m6,지표 및 목표,기후 관련 지표,온실가스,기업의 Scope 2 온실가스 배출량과 관련된 계약 상품에 관한 정보를 공시한다.
s2-m7,지표 및 목표,기후 관련 지표,전환 위험,기후 관련 전환 위험에 취약한 자산 또는 사업활동의 금액
s2-m8,지표 및 목표,기후 관련 지표,물리적 위험,기후 관련 물리적 위험에 취약한 자산 또는 사업활동의 금액
s2-m9,지표 및 목표,기후 관련 지표,기회,기후 관련 기회에 부합하는 자산 또는 사업활동의 금액
s2-m10,지표 및 목표,기후 관련 지표,자본 배치,"기후 관련 위험 및 기회에 대비하여 배치된 자본적 지출, 자금조달 또는 투자 금액"
s2-m11,지표 및 목표,기후 관련 지표,내부 탄소 가격,기업의 내부 탄소 가격과 탄소 가격을 의사결정에 적용하고 있는지 여부와 어떻게 적용하는지에 대한 설명
s2-m12,지표 및 목표,기후 관련 지표,보상,기후 관련 사항이 경영진 보상에 어떻게 고려되는지와 기후 관련 사항과 연계된 당기 경영진 보상의 백분율
s2-m13,지표 및 목표,기후 관련 목표,목적,"기업은 온실가스 배출량 목표를 포함하여, 전략적 목표를 달성하기 위한 진척도를 모니터링하기 위해 기업이 설정한 양적 및 질적 기후 관련 목표, 그리고 법률이나 규정에 따라 충족해야 하는 목표를 공시한다. 각 목표에 대하여 다음을 공시한다."
s2-m14,지표 및 목표,기후 관련 목표,목표 설정 프로세스,"기후 관련 목표에 대하여 사용된 지표, 적용 범위, 기준연도, 모든 주요 목표"
s2-m15,지표 및 목표,기후 관련 목표,목표 검토 프로세스,기업은 각각의 목표를 설정하고 검토하는 접근법 및 각각의 목표에 대한 진척도를 어떻게 모니터링하는지에 대한 정보를 공시한다. 여기에는 다음이 포함된다.
s2-m16,지표 및 목표,기후 관련 목표,목표 검토 프로세스,목표 및 목표 설정 방법에 대한 제3자의 검증 여부
s2-m17,지표 및 목표,기후 관련 목표,목표 검토 프로세스,목표를 검토하기 위한 기업의 프로세스
s2-m18,지표 및 목표,기후 관련 목표,목표 검토 프로세스,목표 달성 진척도를 모니터링하기 위해 사용된 지표
s2-m19,지표 및 목표,기후 관련 목표,목표 검토 프로세스,목표 수정사항 및 그러한 수정사항에 대한 설명
s2-m20,지표 및 목표,기후 관련 목표,목표 검토 프로세스,기업은 각 기후 관련 목표 대비 성과 및 기업 성과의 추세 또는 변화 분석에 대한 정보를 공시한다.
s2-gen,일반 정보,보고서 기본 정보,보고서 기본 정보,보고서의 표지 및 버전을 관리하는 기본 정보를 입력합니다.

